id,duration,ip,ex1t,ex2t,A1,A2,A3,A4_1,A4_2,A4_3,A4_4,A5_1,A5_2,A5_3,A5_4,A5_5,A5_6,A5_7,A6,A7,A8,A9,A10,A11,A12_1,A12_2,A12_3,A12_4,B1,B1a,B2,B3,B4,B5,B6,B7_1,B7_2,B7_3,B7_4,B7_5,B7_6,B8_1,B8_2,B8_3,B9,B11_1,B11_2,B11_3,B11_4,B12_1,B12_2,B12_3,B12_4,B12_5,B12_6,B13,B14_1,B14_2,B14_3,B14_4,B14_5,B14_6,B15_1,B15_2,B15_3,B15_4,B16,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
27697,419,Guangxi,0,0,8,4,4,1,1,0,0,0,0,0,1,0,0,0,2,2,3,3,4,4,5,4,2,4,0,0,3,1,0,4,2,1,1,1,1,1,1,3,8,9,4,4,5,5,5,1,0,1,1,1,0,3,0,0,1,2,0,1,4,5,4,5,7,1,2,Guangxi,1,2,5,4,6,1,3
27698,670,Guangdong,0,0,9,4,4,1,1,0,0,0,0,0,0,0,0,1,1,1,1,4,4,4,4,3,3,4,0,0,3,1,1,1,2,1,1,1,1,1,1,6,8,7,4,4,5,4,5,1,0,0,1,1,0,4,0,0,1,1,0,0,4,5,4,5,9,1,2,Guangdong,1,2,7,1,6,1,3
27699,827,Guangdong,1,1,9,4,4,1,1,0,0,0,0,0,0,0,0,1,1,1,2,4,4,4,4,5,3,4,0,0,3,1,1,1,2,1,1,1,1,1,1,7,8,7,4,4,5,4,5,1,0,0,1,1,0,4,0,0,0,1,0,0,4,5,4,5,9,0,2,Guangdong,1,2,7,1,7,1,3
27700,392,Hubei,0,1,5,3,2,0,0,0,1,0,0,0,0,0,1,0,3,3,2,2,2,4,4,4,3,4,0,0,3,0,0,4,4,1,1,0,1,1,1,2,7,9,4,3,2,5,3,1,0,0,0,1,0,2,1,1,2,3,1,1,5,5,5,3,7,0,1,Hubei,0,1,4,4,3,4,1
27701,943,Yunnan,1,0,8,1,1,0,0,0,1,0,0,0,1,0,0,0,3,3,3,2,2,4,3,4,2,3,1,2,3,1,0,4,4,1,1,1,1,0,1,4,5,8,4,4,3,4,4,1,0,0,1,1,0,2,0,0,2,3,1,2,4,3,4,2,6,0,1,Yunnan,0,1,6,11,3,2,3
27702,661,Shandong,0,1,8,4,2,1,0,0,0,0,0,1,0,0,0,0,3,3,1,3,4,4,4,5,2,4,0,0,3,0,0,4,3,1,1,1,1,1,1,5,7,9,4,4,4,5,4,1,1,1,1,1,0,2,1,0,1,2,2,2,4,4,5,4,8,0,2,Shandong,1,2,6,1,5,2,3
27703,647,Jiangxi,0,1,9,3,3,1,0,0,0,0,0,0,0,0,1,0,1,2,2,3,4,4,5,5,2,4,0,0,3,1,0,4,1,1,1,0,1,0,1,9,7,3,2,4,4,5,4,1,0,0,0,1,0,2,0,0,0,2,0,1,5,4,4,3,9,1,2,Jiangxi,0,2,5,4,6,2,3
27704,541,Henan,0,0,9,1,2,0,0,0,1,1,0,0,0,0,0,0,3,3,3,3,4,4,4,5,3,4,0,0,3,1,0,4,3,1,1,0,1,0,1,6,8,7,4,2,4,4,5,1,0,0,0,1,0,2,1,0,2,3,1,1,4,3,4,4,8,1,2,Henan,0,1,5,11,5,1,4
27705,333,Liaoning,1,1,8,3,2,1,0,0,0,0,0,0,1,0,0,0,2,2,2,3,4,4,4,4,2,4,0,0,3,0,0,4,2,1,1,1,1,1,1,4,5,8,1,4,4,5,4,1,0,0,1,1,0,2,1,1,1,2,0,1,4,4,5,4,9,1,3,Liaoning,1,2,5,1,4,1,3
27706,555,Guangdong,0,1,9,4,3,1,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4,4,4,4,3,4,0,0,3,1,0,1,2,1,1,1,1,1,1,4,5,7,4,4,5,4,5,1,1,0,0,1,0,4,1,0,1,2,0,1,5,4,4,5,9,0,2,Guangdong,1,2,7,1,7,2,2
27707,838,Shanghai,1,0,9,4,2,0,1,0,0,0,0,0,1,0,0,0,2,3,2,3,4,4,4,5,2,4,0,0,3,1,1,1,2,1,1,1,1,1,1,3,5,8,4,5,4,4,3,1,0,0,1,1,0,3,3,0,1,3,0,1,4,5,5,5,9,0,3,Shanghai,0,2,3,1,6,1,1
27708,561,Fujian,1,1,8,4,3,1,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,4,4,5,3,4,0,0,3,1,0,4,3,1,1,1,1,1,1,1,3,6,4,5,5,4,5,1,0,0,1,1,0,3,0,0,0,1,1,1,5,5,5,5,10,1,2,Fujian,1,2,5,3,6,2,1
27709,559,Shandong,0,1,8,4,4,1,1,0,0,1,0,0,1,0,0,0,3,3,3,2,4,4,4,5,4,4,0,0,3,0,0,4,4,1,1,1,1,1,1,8,8,6,4,4,5,5,4,1,0,0,0,1,0,2,2,1,1,3,1,1,4,5,4,4,7,1,2,Shandong,1,2,5,4,5,1,3
27710,800,Inner Mongolia,1,1,5,3,3,0,1,0,0,0,0,0,0,0,0,1,4,4,3,2,3,4,4,4,3,3,0,0,3,0,0,4,4,1,1,1,1,1,1,8,5,3,3,2,1,4,2,1,1,1,1,0,0,1,1,2,3,3,3,2,4,2,1,2,7,0,1,Inner Mongolia,0,1,5,1,4,4,3
27711,715,Shanxi,0,0,6,4,4,1,0,0,0,0,0,0,0,0,1,0,3,3,3,2,4,4,4,4,2,3,0,0,3,1,0,4,2,1,1,1,1,1,1,6,7,5,3,4,3,5,4,1,1,1,1,0,0,3,2,1,2,3,1,1,4,4,4,3,7,1,2,Jiangsu,1,2,6,4,7,1,2
27712,293,Jiangsu,1,1,1,3,1,0,0,0,1,0,0,1,1,0,0,0,3,3,4,2,4,4,4,5,2,4,0,0,3,1,1,4,2,1,1,0,0,0,1,5,4,7,2,2,1,5,5,1,0,0,0,1,0,2,0,0,2,3,1,1,4,5,4,3,10,1,2,Jiangsu,1,1,6,2,4,1,3
27713,431,Guangdong,0,1,9,1,1,0,0,0,1,0,0,0,0,0,0,1,1,2,3,2,4,4,5,4,2,4,0,0,3,0,0,4,4,1,1,1,1,1,1,6,6,4,4,4,4,4,3,1,1,0,1,1,0,2,0,0,1,2,1,2,4,4,4,4,8,1,2,Guangdong,0,1,6,1,6,4,3
27714,515,Guangdong,0,1,9,4,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,4,4,4,4,4,0,0,3,1,0,1,2,1,1,1,1,1,1,5,5,8,5,5,4,4,5,1,1,0,0,1,0,4,1,0,0,2,0,0,5,5,4,5,9,0,2,Guangdong,1,2,5,1,6,2,3
27715,275,Guangdong,0,0,9,4,4,0,0,0,1,0,0,0,0,0,0,1,3,3,3,1,3,4,5,5,3,4,0,0,3,1,0,4,2,1,0,1,1,1,1,5,6,9,5,4,5,4,4,1,1,1,1,1,0,1,1,1,3,2,3,0,5,5,5,3,7,0,1,Guangdong,0,1,5,11,6,4,4
